show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5881,Movie,Kopy Kings,1768,"Kira Pozehl, David Moxham, Darrell Mitchell, David Blackwell",,,2016,3,94,"Arthouse, Comedy",The misfits who work at a 24-hour copy center in Austin have their lives disrupted with a new hire - just as the owner blows into town with bad news: he is selling out to corporate America.
s5882,Movie,Karuppankaatu Valasu,4442,"Ebenezer Devaraj, Neelima Esai",,,2020,0,110,"Action, Comedy, Drama","A young woman, who is the daughter of the chieftain, tries to modernise her village. However, when a string of murders follows, her efforts are thwarted."
s5883,Movie,"Hangmen Also Die - WWII Suspense Classic, Produced & Directed By Fritz Lang, Uncut!",1609,"Brian Donlevy, Walter Brennan, Anna Lee, Gene Lockhart, Dennis O'Keefe, Nana Bryant, William Roy",,,1943,0,134,"Action, Drama, Suspense","Based on a true story. After the Nazi administrator of Czechoslovakia Reinhard Heydrich is shot, (best known to the Czechs as ""The Hangman"" because of his excessive brutality) his assassin tries to elude the Gestapo and struggles with his impulse to give himself up as hostages are executed one by one. Many movie veterans are in this film, and the intensity builds up to an immense pitch!"
s5884,Movie,Gaiir,4383,"Ankush Chaudhari, Amruta Khanvilkar, Sandeep Kulkarni, Tejaswini Pandit, Ila Bhate, Shrirang Deshmukh, Mahesh Joshi, Vidyadhar Joshi, Sachin Khedekar, Amita Khopkar, Uday Tikekar",,,2009,7,148,Suspense,"A pretty young girl (Amruta Khanvilkar) marries the most eligible bachelor (Sandeep Kulkarni) in town, but her happiness is short lived when a number of strange unexplained incidences with her husband (or is it a duplicate?) starts making life a living hell. As the web of duplicity gets murkier, no one is above suspicion."
s5885,Movie,"Fiesta - 1941 Color Musical Comedy w/ Jorge Negrete, Anne Ayars",2829,"Anne Ayars (aka Ann Ayars, George Negrete (aka Jorge Negrete), Armida, Antonio Moreno, Carlos Valadez, Jose Arias, Guadalajara Trio, Many More, George Givot",,,1941,0,44,"Arts, Entertainment, and Culture, Comedy, Drama","Cholita (Anne Ayars), after an absence in Mexico City, is returning home to take up her duties as head of the rancho & everyone expects her to marry her childhood sweetheart José (George Negrete). Expectations are somewhat dashed as she shows up with Fernando (George Givot), her fiancé! This makes José & Cholita's uncle (Antonio Moreno) the head of the town, very upset. Songs & Dances galore!"
s5886,Movie,Fatal Fury,1886,"Hidekatsu Shibata, Keiichi Nanba, Jason Gray-stanford",,,1992,0,100,"Action, Drama","Jeff Bogard was a master of the Hakkyokuseiken martial arts school and the guardian of its secret techniques. Coveting this knowledge, Geese Howard, the most powerful man in South Town, challenged and murdered him in front of his adoptive sons Terry and Andy Bogard."
s5887,Movie,Fanboys,2789,"Dan Fogler, Kristen Bell, Chris Marquette, Jay Baruchel",,,2021,13,90,"Action, Drama","A group of Star Wars fans travel to Skywalker Ranch to steal a copy of ""The Phantom Menace,"" so that their terminally ill friend can see it before its release in theaters several months down the line."
s5888,Movie,"Ed Wood's ""The Violent Years"" - An Exploitation Schlock Classic",5179,"Jean Moorehead, Barbara Weeks, Glenn Corbett, Theresa Hancock, Gloria Farr, Art Milan, Joanne Cangi",,,1956,0,57,"Comedy, Drama, Suspense","A daughter suffers from neglect by her rich parents. She & her friends turn to crime by dressing up like guys, holding up gas stations, raping young men at gunpoint, & having makeout parties when her parents are away. Their ""fence"" gets them to trash the school on request of sinister un-American clients, & they run afoul of the law, apple pie, & God himself. A J.D. extravaganza written by Ed Wood!"
s5889,Movie,Death by a Thousand Cuts,2025,"Yolanda Léon, Jean Wiener",,,2019,2,74,Documentary,"In Death by a Thousand Cuts, the murder investigation of a Dominican park ranger by a Haitian charcoal producer reveals the complex, growing conflict between the Dominican Republic and Haiti in the battle for natural resources."
s5890,Movie,Coming For The King,2231,"John Allen Shaw, Bill Johnson, Paul Mauriello, Roberto Ragone, Dyesha Hicks",,,2021,3,66,Drama,Coming for the King is a fictional account of the events and the people that surrounded Martin Luther King Jr. from early 1963 until his untimely demise in the Spring of 1968.
s5891,Movie,"Cisco Kid in - ""Wedding Blackmail"" & ""False Marriage""",3692,"Duncan Renaldo, Leo Carrillo, Phyllis Coates, Tom Tyler, David Bruce, Gail Davis, Mary Gordon, Robert Livingston, Earle Hodgins, Russell Hicks",,,1950,0,53,"Action, Comedy, Western","Wedding Blackmail: Cisco and Pancho try to help a young bank teller, whose marriage to the bank president's daughter is endangered by two gunmen who are blackmailing him about a secret from his past. False Marriage: Jasper asks his friend Cisco to help stop the marriage between his niece and the notorious outlaw, Duke Ralston."
s5892,Movie,"Cisco Kid in - ""Phoney Sheriff"" & ""Lynching Story""",3691,"Duncan Renaldo, Leo Carrillo, Phyllis Coates, Tom Tyler, David Bruce, Carol Forman, Lane Chandler",,,1950,0,53,"Action, Comedy, Western","Phoney Sheriff: Cisco & Pancho are tricked by a cattle buyer, who used a fake sheriff & deputies to get them to turn over a friend's cattle. They set out after the swindler to get the cattle back. Lynching Story: When a bank president is murdered, people accuse the man's future son-in-law, & a lynching party is formed. Cisco and Pancho must find the real killer before an innocent man hangs."
s5893,Movie,Assamiyin America Payanam,1624,"Vishnu Manchu, Pragya Jaiswal, Brahmanandam, Pradeep Rawat, Thakur Anoop Singh, Kota Srinivasa Rao, Posani Krishna Murali, Master Bharath, Satya Krishnan, Surekha Vani, Praveen, Vidyullekha Raman, Prudhviraj, Prabhas Sreenu",,,2021,0,124,Comedy,A young priest fools his guru into taking him along on a group tour to the US in order to go after the love of his life.
s5894,Movie,A Friendship,53,"Abu Nizam, Afroza Sarwar",,,2021,0,84,"Arthouse, Drama",A middle-aged man trapped in frustration and loneliness in Toronto comes across a lady when they help each other to get back to their lives from thousands of miles apart.
s5898,Movie,IVÁN MARÍN: WHY THE HELL?,1553,Iván Marín,,,2020,2,70,Comedy,"Why the hell do people talk to plants? Why is God usually bothered? Why do porn actresses not take their heels off? These and many other questions try to get answered in a monologue in which Ivan presents a detailed repertoire without feelings involved, it exposes insufferable professionals and establishes enigmas that no one else has revealed."
s5900,Movie,"Van Johnson in Go For Broke - A War Film Classic, Uncut & Restored",4158,"Van Johnson, Lane Nakano, George Miki, Akira Fukunaga, Ken K. Okamoto, Henry Oyasato, Harry Hamada, Henry Nakamura",,,1951,0,91,"Action, Drama","During World War II, Lt. Michael Grayson (Van Johnson) is a newly commissioned Army officer who is put in charge of Japanese-American soldiers, who form the 442nd Regimental Combat Team. Grayson is bigoted and uneasy about the assignment, but when the unit goes into combat in Italy, he admires their courage and determination. The 442nd eventually becomes the most decorated unit in the U.S. Army."
s5901,Movie,Ungli,4009,"Emraan Hashmi, Kangana Ranaut, Sanjay Dutt, Randeep Hooda, Angad Bedi, Kader Khan",India,,2014,0,114,"Comedy, Drama, Suspense","Fed up with the corruption that was prevalent in the government entities, four ordinary friends band together to form the Ungli gang, aiming to cleanse Mumbai of crime. Consisting of Kalim(Angad Bedi), Gautam(Neil Bhoopalam), Maya(Kangana Ranaut) and Abhay(Randeep Hooda), they target people in the criminal regime and enforce their brand of justice on them, always staying a step ahead of police."
s5902,Movie,Unforgivable,1757,"John Ritter, Harley Jane Kozak, Kevin Dunn, Susan Gibney, Gina Philips",,,1996,0,88,Drama,"Paul Hegstrom is a so-called family man who puts his wife through domestic violence and his children through emotional torture. After leaving his family and almost killing his new girlfriend in one of his rages, Paul is ordered to either seek professional help through an innovative therapy program or go to jail."
s5903,Movie,True,4527,"Harish Vinay, Lavanya, Madhusudan, TNR, DS Rao Manikanta, Mahendranath HM, Subhodayam Subbarao, Brahmanandareddy, Bahubali Kalpalatha",,,2021,0,90,"Romance, Suspense","The mysterious circumstances around the death of the lead character, Vignesh's ( Harish Vinay) father, leads him down a path filled with unexpected twists and turns. Nothing is as it seems, but will the truth finally set him free"
