content_category,total_count,avg_preference,avg_release_year
"Movie - Children & Family Movies, Comedies, Faith & Spirituality",1,61.0,2007.0
"Movie - Children & Family Movies, Comedies, International Movies",5,75.6,2016.8
"Movie - Children & Family Movies, Comedies, LGBTQ Movies",1,74.0,2019.0
"Movie - Children & Family Movies, Comedies, Music & Musicals",15,74.13333333333334,2017.2666666666667
"Movie - Children & Family Movies, Comedies, Romantic Movies",8,72.125,2014.0
"Movie - Children & Family Movies, Comedies, Sci-Fi & Fantasy",11,77.72727272727273,2012.8181818181818
"Movie - Children & Family Movies, Comedies, Sports Movies",3,58.0,2014.0
"Movie - Children & Family Movies, Documentaries",9,74.66666666666667,2017.6666666666667
"Movie - Children & Family Movies, Documentaries, International Movies",6,83.5,2017.3333333333333
"Movie - Children & Family Movies, Documentaries, Sports Movies",2,67.0,2016.0
"Movie - Children & Family Movies, Dramas",29,62.3448275862069,2013.344827586207
"Movie - Children & Family Movies, Dramas, Faith & Spirituality",6,78.0,2015.8333333333333
"Movie - Children & Family Movies, Dramas, Independent Movies",3,71.66666666666667,2014.6666666666667
"Movie - Children & Family Movies, Dramas, International Movies",11,72.27272727272727,2017.909090909091
"Movie - Children & Family Movies, Dramas, Music & Musicals",2,86.0,2016.0
"Movie - Children & Family Movies, Dramas, Romantic Movies",9,72.77777777777777,2017.2222222222222
"Movie - Children & Family Movies, Dramas, Sports Movies",9,66.55555555555556,2013.2222222222222
"Movie - Children & Family Movies, Faith & Spirituality",1,72.0,2017.0
"Movie - Children & Family Movies, Faith & Spirituality, Music & Musicals",1,73.0,2021.0
"Movie - Children & Family Movies, Independent Movies",2,79.0,2014.0
"Movie - Children & Family Movies, Music & Musicals",20,73.1,2017.2
"Movie - Children & Family Movies, Sci-Fi & Fantasy",8,77.875,2013.5
"Movie - Children & Family Movies, Sports Movies",5,83.0,2015.4
"Movie - Classic Movies, Comedies, Cult Movies",3,65.0,1982.0
"Movie - Classic Movies, Comedies, Dramas",4,62.75,1978.75
"Movie - Classic Movies, Comedies, Independent Movies",2,72.0,1955.0
"Movie - Classic Movies, Comedies, International Movies",3,65.0,1982.6666666666667
"Movie - Classic Movies, Comedies, Music & Musicals",2,51.5,1968.0
"Movie - Classic Movies, Comedies, Romantic Movies",1,84.0,1992.0
