,precision,recall,f1-score
False,0.9741100323624595,0.6142857142857143,0.753441802252816
True,0.7236842105263158,0.9840954274353877,0.8340353833192923
accuracy,0.8016112789526687,0.8016112789526687,0.8016112789526687
macro avg,0.8488971214443877,0.799190570860551,0.7937385927860541
weighted avg,0.8472578789046747,0.8016112789526687,0.7942661439209303
